DESIGNATION;DESCRIPTION;LIEN;CATEGORIE;ETAT;AUTEUR.ICES;PROJETS
Etude ACV Méthanisation;Le développement de la production de gaz renouvelabes dans les territoires repose aujourd'hui essentiellement sur le procédé de méthanisation, tehcnologie la plus mature. Pour quantifier les impacts environnementaux de la production de biométhanes issu des résidus agricole, les experts de l'INRAE transfert, mandatés par GrDF ont réalisé une étude ACV.;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/CP_EtudeACVMethanisation_VF_0.pdf;ACV;Disponible;Picojoules;1
Rapport ACV Biométhane;La méthanisation pourrait constituer un des leviers majeurs pour atteindre un mix de gaz 100% renouvelable dans les réseaux en 2050. Le développement de la filière repose sur la mobilisation de ressources organiques qui seront valorisés. Cette étude proposeun bilan environnemental du biométhane issu de ressources agricoles.;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/Rapport%20ACV_Biomethane%20issu%20de%20ressources%20agricoles_INRAE%20Transfert_GRDF....pdf;ACV;Disponible;Picojoules;2
Impacts filière compostage;Dans cette ACV comparative, les résultats d’impacts sur l’environnement sont présentés selon trois types : les impacts générés, les impacts évités, et enfin les impacts agrégés;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/acv_impact_filiere_compostage_methanisation_rapport_.pdf;ACV;En cours;Picojoules;1
