NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
Capteur solaire thermique;Produire de la chaleur pour l'habitat à partir du rayonnement solaire.;https://wiki.lowtechlab.org/wiki/Chauffage_solaire_version_ardoise;A venir;https://wiki.lowtechlab.org/images/thumb/4/4b/Chauffage_solaire_version_ardoise_47949921956_479ae5b9ec_kk.jpg/800px-Chauffage_solaire_version_ardoise_47949921956_479ae5b9ec_kk.jpg;Low-tech Lab
Biogaz domestique;Produire du biogaz utile aux usages domestiques à partir de nos déchets organiques.;https://wiki.lowtechlab.org/wiki/Biodigesteur_domestique;A venir;https://wiki.lowtechlab.org/images/thumb/5/56/Biodigesteur_domestique_small_general.png/800px-Biodigesteur_domestique_small_general.png;Low-tech Lab
Katalog - Plateforme de ressources ouvertes;null;https://github.com/Konsilion/katalog-template/;Disponible;null;null
Konnect - Couteau suisse de la Data Science;undefined;https://github.com/Konsilion/Konnect;Disponible;undefined;undefined
